latitude,longitude,altitude,timestamp,heart_rate,cadence,elevation
55.91314665041864,11.656029531732202,11.600000000000023,2022-10-08 13:49:46+02:00,153,61,35.0
55.91312728822231,11.656041014939547,12.399999999999977,2022-10-08 13:49:50+02:00,152,0,35.0
55.913126450031996,11.656049899756908,13.600000000000023,2022-10-08 13:49:52+02:00,148,0,35.0
55.913121169433,11.656053587794304,14.200000000000045,2022-10-08 13:49:54+02:00,145,0,35.0
55.9131002984941,11.656048893928528,14.399999999999977,2022-10-08 13:49:57+02:00,145,0,35.0
55.9130831155926,11.656041601672769,14.799999999999955,2022-10-08 13:49:59+02:00,146,0,35.0
55.91308269649744,11.656027855351567,15.0,2022-10-08 13:50:03+02:00,149,61,35.0
55.913060400635004,11.655979827046394,14.600000000000023,2022-10-08 13:50:07+02:00,146,61,34.0
55.91305151581764,11.655970104038715,14.399999999999977,2022-10-08 13:50:08+02:00,144,61,34.0
55.913012120872736,11.655953172594309,13.0,2022-10-08 13:50:12+02:00,148,61,34.0
55.912985717877746,11.655938671901822,11.800000000000011,2022-10-08 13:50:16+02:00,144,0,34.0
55.91296199709177,11.655939426273108,12.0,2022-10-08 13:50:21+02:00,141,61,34.0
55.91294045560062,11.655955268070102,11.600000000000023,2022-10-08 13:50:26+02:00,139,46,34.0
55.91289452277124,11.655967002734542,10.600000000000023,2022-10-08 13:50:30+02:00,138,46,34.0
55.91278010979295,11.656001368537545,9.199999999999989,2022-10-08 13:50:36+02:00,141,70,34.0
55.91267089359462,11.65599918924272,10.199999999999989,2022-10-08 13:50:42+02:00,144,72,34.0
55.91260517947376,11.65602307766676,10.199999999999989,2022-10-08 13:50:47+02:00,147,70,34.0
55.91252211481333,11.656043529510498,10.0,2022-10-08 13:50:54+02:00,151,69,34.0
55.912512140348554,11.656052246689796,10.399999999999977,2022-10-08 13:50:55+02:00,154,0,34.0
55.91250400990248,11.656059119850397,10.600000000000023,2022-10-08 13:50:56+02:00,154,0,34.0
55.912489173933864,11.656071273609996,11.0,2022-10-08 13:50:58+02:00,151,61,34.0
